ARG Name	Drug Class	Resistance Mechanism	Updated Resistance Mechanism
AAC(6')-30/AAC(6')-Ib'	aminoglycoside	antibiotic inactivation	antibiotic inactivation
mecI	beta_lactam	antibiotic target replacement	antibiotic target replacement
AAC(6')-Isa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
rphA	rifampin	antibiotic inactivation	antibiotic inactivation
pmrE	polymyxin	antibiotic target alteration	antibiotic target alteration
class	beta_lactam	antibiotic inactivation	antibiotic inactivation
lmrC	macrolide;lincosamide;streptogramin	antibiotic target protection	antibiotic target protection
y56	beta_lactam	antibiotic inactivation	antibiotic inactivation
AAC(6')-Ib-SK	aminoglycoside	antibiotic inactivation	antibiotic inactivation
vanZA	glycopeptide	antibiotic target alteration	antibiotic target alteration
Erm(38)	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
OXA-184	beta_lactam	antibiotic inactivation	antibiotic inactivation
vanG	glycopeptide	antibiotic target alteration	antibiotic target alteration
tet32	tetracycline	antibiotic target protection	antibiotic target protection
fosA	fosfomycin	antibiotic inactivation	antibiotic inactivation
vanTE	glycopeptide	antibiotic target alteration	antibiotic target alteration
catB6	chloramphenicol	antibiotic inactivation	antibiotic inactivation
blaI	beta_lactam	antibiotic inactivation	antibiotic inactivation
vanYD	glycopeptide	antibiotic target alteration	antibiotic target alteration
FosB3	fosfomycin	antibiotic inactivation	antibiotic inactivation
EXO	beta_lactam	antibiotic inactivation	antibiotic inactivation
cat-TC	chloramphenicol	antibiotic inactivation	antibiotic inactivation
OXA-421	beta_lactam	antibiotic inactivation	antibiotic inactivation
Erm(43)	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
vanTG	glycopeptide	antibiotic target alteration	antibiotic target alteration
mecB	beta_lactam	antibiotic target replacement	antibiotic target replacement
QnrC	quinolone	antibiotic target protection	antibiotic target protection
vanWG	glycopeptide	antibiotic target alteration	antibiotic target alteration
clbC	multidrug	antibiotic target alteration	antibiotic target alteration
arnA	polymyxin	antibiotic target alteration	antibiotic target alteration
APH(4)-Ib	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Erm(39)	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
FosK	fosfomycin	antibiotic inactivation	antibiotic inactivation
vatA	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
oleI	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
AAC(6')-Iid	aminoglycoside	antibiotic inactivation	antibiotic inactivation
FomB	fosfomycin	antibiotic inactivation	antibiotic inactivation
AAC(6')-Iih	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AAC(6')-Iak	aminoglycoside	antibiotic inactivation	antibiotic inactivation
spd	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(3'')-Ia	aminoglycoside	antibiotic inactivation	antibiotic inactivation
arr-1	rifampin	antibiotic inactivation	antibiotic inactivation
OXA-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
vanTN	glycopeptide	antibiotic target alteration	antibiotic target alteration
APH(3'')-Ic	aminoglycoside	antibiotic inactivation	antibiotic inactivation
FosC2	fosfomycin	antibiotic inactivation	antibiotic inactivation
blaR1	beta_lactam	antibiotic inactivation	antibiotic inactivation
AAC(6')-Ib8	aminoglycoside	antibiotic inactivation	antibiotic inactivation
sgm	aminoglycoside	antibiotic target alteration	antibiotic target alteration
AAC(6')-Ib7	aminoglycoside	antibiotic inactivation	antibiotic inactivation
vgaC	macrolide;lincosamide;streptogramin	antibiotic target protection	antibiotic target protection
BJP-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
gimA	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
mprF	peptide	antibiotic target alteration	antibiotic target alteration
AAC(6')-Iaj	aminoglycoside	antibiotic inactivation	antibiotic inactivation
PEDO-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
PEDO-2	beta_lactam	antibiotic inactivation	antibiotic inactivation
PEDO-3	beta_lactam	antibiotic inactivation	antibiotic inactivation
CPS-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
ESP-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
MSI-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
MSI-OXA	beta_lactam	antibiotic inactivation	antibiotic inactivation
SPG-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
vanJ	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanWI	glycopeptide	antibiotic target alteration	antibiotic target alteration
fusD	fusidic_acid	antibiotic inactivation	antibiotic inactivation
mphG	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
vanI	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanKI	glycopeptide	antibiotic target alteration	antibiotic target alteration
vanXI	glycopeptide	antibiotic target alteration	antibiotic target alteration
lnuE	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
salA	multidrug	antibiotic target protection	antibiotic target protection
RlmA(II)	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
mph	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
fusC	fusidic_acid	antibiotic inactivation	antibiotic inactivation
optrA	multidrug	antibiotic target protection	antibiotic target protection
XD36_3096	beta_lactam	antibiotic target alteration	antibiotic target alteration
Mrx	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
MOX-9	beta_lactam	antibiotic inactivation	antibiotic inactivation
Rm3	beta_lactam	antibiotic inactivation	antibiotic inactivation
ADC-8	beta_lactam	antibiotic inactivation	antibiotic inactivation
Erm(47)	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
erm(44)	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
LlmA	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
CatU	chloramphenicol	antibiotic inactivation	antibiotic inactivation
BahA	bacitracin	antibiotic inactivation	antibiotic inactivation
VatI	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
AAC(2')-IIb	kasugamycin	antibiotic inactivation	antibiotic inactivation
AAC(6')-34	aminoglycoside	antibiotic inactivation	antibiotic inactivation
VgbC	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
mphI	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
rphB	rifampin	antibiotic inactivation	antibiotic inactivation
cpaA	aminoglycoside	antibiotic inactivation	antibiotic inactivation
mgtA	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
msrB	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
EdeQ	peptide	antibiotic inactivation	antibiotic inactivation
bleomycin	bleomycin	antibiotic inactivation	antibiotic inactivation
APH(3')-VIII	aminoglycoside	antibiotic inactivation	antibiotic inactivation
APH(3')-IX	aminoglycoside	antibiotic inactivation	antibiotic inactivation
lnuG	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
HMB-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
ANT(3'')-IIa	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ANT(3'')-IIb	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ANT(3'')-IIc	aminoglycoside	antibiotic inactivation	antibiotic inactivation
kamB	aminoglycoside	antibiotic target alteration	antibiotic target alteration
FosA7	fosfomycin	antibiotic inactivation	antibiotic inactivation
TolC	multidrug	reduced permeability to antibiotic	reduced permeability to antibiotic
KR51_00036950	beta_lactam	reduced permeability to antibiotic	reduced permeability to antibiotic
MCR-3	polymyxin	antibiotic target alteration	antibiotic target alteration
mecD	beta_lactam	antibiotic target replacement	antibiotic target replacement
APH(2'')-If	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Vibrio	beta_lactam	antibiotic inactivation	antibiotic inactivation
BUT-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
MCR-4	polymyxin	antibiotic target alteration	antibiotic target alteration
MCR-5	polymyxin	antibiotic target alteration	antibiotic target alteration
fosB	fosfomycin	antibiotic target alteration	antibiotic target alteration
Sbal223_2079	beta_lactam	antibiotic target alteration	antibiotic target alteration
evgA	multidrug	antibiotic target alteration	antibiotic target alteration
ampC	beta_lactam	antibiotic target alteration	antibiotic target alteration
evgS	multidrug	antibiotic target alteration	antibiotic target alteration
APH(2'')-Ig	aminoglycoside	antibiotic target alteration	antibiotic target alteration
rphB	rifampin	reduced permeability to antibiotic	reduced permeability to antibiotic
msrE	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
ROB-1	beta_lactam	antibiotic target alteration	antibiotic target alteration
tetW	tetracycline	antibiotic target alteration	antibiotic target alteration
CTX-M-101	beta_lactam	antibiotic target alteration	antibiotic target alteration
ethA	isoniazid	antibiotic target alteration	antibiotic target alteration
HMPREF1562_2717	beta_lactam	antibiotic target alteration	antibiotic target alteration
ACT-18	beta_lactam	antibiotic target alteration	antibiotic target alteration
RW25_27295	beta_lactam	antibiotic target alteration	antibiotic target alteration
APH(3')-Ia	aminoglycoside	reduced permeability to antibiotic	reduced permeability to antibiotic
eatAv	multidrug	antibiotic target protection	antibiotic target protection
tetT	tetracycline	antibiotic target alteration	antibiotic target alteration
sat-3	aminoglycoside	antibiotic target alteration	antibiotic target alteration
arnC	polymyxin	antibiotic target alteration	antibiotic target alteration
AAC(2')-Ia	aminoglycoside	antibiotic target alteration	antibiotic target alteration
AB432_04625	chloramphenicol	antibiotic target alteration	antibiotic target alteration
rpsJ	beta_lactam	antibiotic target protection	antibiotic target protection
blaOXA-1	beta_lactam	antibiotic target alteration	antibiotic target alteration
B2K_23630	aminoglycoside	antibiotic target alteration	antibiotic target alteration
tetL	tetracycline	antibiotic target alteration	antibiotic target alteration
ACU52_03190	beta_lactam	antibiotic target alteration	antibiotic target alteration
AAC(1)	aminoglycoside	antibiotic target alteration	antibiotic target alteration
bacA	bacitracin	antibiotic target alteration	antibiotic target alteration
BN1047_01714	beta_lactam	antibiotic target replacement	antibiotic target replacement
rphB	rifampin	antibiotic target alteration	antibiotic target alteration
oleR	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
desR	macrolide;lincosamide;streptogramin	antibiotic target alteration	antibiotic target alteration
temp	beta_lactam	antibiotic inactivation	antibiotic inactivation
AN962_02850	chloramphenicol	antibiotic inactivation	antibiotic inactivation
LEN-22	beta_lactam	antibiotic inactivation	antibiotic inactivation
mprF	aminoglycoside	antibiotic target alteration	antibiotic target alteration
ATE62_07440	aminoglycoside	antibiotic inactivation	antibiotic inactivation
JCM18904_2380	beta_lactam	antibiotic inactivation	antibiotic inactivation
F991_03391	beta_lactam	antibiotic inactivation	antibiotic inactivation
sta	streptothricin	antibiotic inactivation	antibiotic inactivation
SPM24T3_07834	beta_lactam	antibiotic inactivation	antibiotic inactivation
IP84_09695	aminoglycoside	antibiotic inactivation	antibiotic inactivation
BacA	bacitracin	antibiotic target alteration	antibiotic target alteration
OXA-129	beta_lactam	antibiotic inactivation	antibiotic inactivation
KsgA	kasugamycin	antibiotic target alteration	antibiotic target alteration
BC1003_5870	beta_lactam	antibiotic inactivation	antibiotic inactivation
ASC78_12905	beta_lactam	antibiotic inactivation	antibiotic inactivation
ECCG_02785	beta_lactam	antibiotic inactivation	antibiotic inactivation
AV650_16790	beta_lactam	antibiotic inactivation	antibiotic inactivation
ACINWC323_3783	beta_lactam	antibiotic inactivation	antibiotic inactivation
fosB	fosfomycin	antibiotic inactivation	antibiotic inactivation
CfxA6	beta_lactam	antibiotic inactivation	antibiotic inactivation
BYI23_D003950	beta_lactam	antibiotic inactivation	antibiotic inactivation
ACINWC743_0148	beta_lactam	antibiotic inactivation	antibiotic inactivation
NGAL_HAMBI1189_11740	beta_lactam	antibiotic inactivation	antibiotic inactivation
BL2be_ctxm	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaT-6	beta_lactam	antibiotic inactivation	antibiotic inactivation
F969_01910	beta_lactam	antibiotic inactivation	antibiotic inactivation
II9_03025	beta_lactam	antibiotic inactivation	antibiotic inactivation
BL1_sm	beta_lactam	antibiotic inactivation	antibiotic inactivation
R70331_17715	aminoglycoside	antibiotic inactivation	antibiotic inactivation
GYMC10_3621	chloramphenicol	antibiotic inactivation	antibiotic inactivation
blaA_1	beta_lactam	antibiotic inactivation	antibiotic inactivation
HMPREF0201_00190	beta_lactam	antibiotic inactivation	antibiotic inactivation
NA8A_07729	beta_lactam	antibiotic inactivation	antibiotic inactivation
pmrF	polymyxin	antibiotic target alteration	antibiotic target alteration
KS18_02010	chloramphenicol	antibiotic inactivation	antibiotic inactivation
JCM10914_123	aminoglycoside	antibiotic inactivation	antibiotic inactivation
PMI21_04305	beta_lactam	antibiotic inactivation	antibiotic inactivation
Rleg4DRAFT_4114	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Lqui_2697	beta_lactam	antibiotic inactivation	antibiotic inactivation
TE10_12060	beta_lactam	antibiotic inactivation	antibiotic inactivation
Rleg2_2947	beta_lactam	antibiotic inactivation	antibiotic inactivation
F990_01630	beta_lactam	antibiotic inactivation	antibiotic inactivation
AB685_17190	beta_lactam	antibiotic inactivation	antibiotic inactivation
FosB	fosfomycin	antibiotic inactivation	antibiotic inactivation
AZ78_1791	aminoglycoside	antibiotic inactivation	antibiotic inactivation
M768_10240	chloramphenicol	antibiotic inactivation	antibiotic inactivation
TU94_25875	aminoglycoside	antibiotic inactivation	antibiotic inactivation
PMI16_03612	beta_lactam	antibiotic inactivation	antibiotic inactivation
AK40_1014	chloramphenicol	antibiotic inactivation	antibiotic inactivation
VanXD	glycopeptide	antibiotic target alteration	antibiotic target alteration
CMY-98	beta_lactam	antibiotic inactivation	antibiotic inactivation
A989_16023	aminoglycoside	antibiotic inactivation	antibiotic inactivation
blaCTX-M	beta_lactam	antibiotic inactivation	antibiotic inactivation
BL1_ec	beta_lactam	antibiotic inactivation	antibiotic inactivation
BABA_08541	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaZ	beta_lactam	antibiotic inactivation	antibiotic inactivation
VanD	glycopeptide	antibiotic target alteration	antibiotic target alteration
WS68_16125	beta_lactam	antibiotic inactivation	antibiotic inactivation
WH51_03205	beta_lactam	antibiotic inactivation	antibiotic inactivation
AZ66_01480	chloramphenicol	antibiotic inactivation	antibiotic inactivation
RO07_02130	aminoglycoside	antibiotic inactivation	antibiotic inactivation
HMPREF1505_1825	beta_lactam	antibiotic inactivation	antibiotic inactivation
catS	chloramphenicol	antibiotic inactivation	antibiotic inactivation
CTX-M-42	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-4	beta_lactam	antibiotic inactivation	antibiotic inactivation
Rhein_0458	beta_lactam	antibiotic inactivation	antibiotic inactivation
AS888_05355	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-46	beta_lactam	antibiotic inactivation	antibiotic inactivation
aacA7	aminoglycoside	antibiotic inactivation	antibiotic inactivation
IMI-4	beta_lactam	antibiotic inactivation	antibiotic inactivation
HMPREF3215_00041	beta_lactam	antibiotic inactivation	antibiotic inactivation
LA66_17590	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ant1_1	aminoglycoside	antibiotic inactivation	antibiotic inactivation
TEM-42	beta_lactam	antibiotic inactivation	antibiotic inactivation
JCM16418_2339	chloramphenicol	antibiotic inactivation	antibiotic inactivation
RCCGE510_19333	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ASF14_19185	aminoglycoside	antibiotic inactivation	antibiotic inactivation
VanA	glycopeptide	antibiotic target alteration	antibiotic target alteration
F935_01490	beta_lactam	antibiotic inactivation	antibiotic inactivation
F993_03488	beta_lactam	antibiotic inactivation	antibiotic inactivation
AC624_14110	chloramphenicol	antibiotic inactivation	antibiotic inactivation
cfr	multidrug	antibiotic target alteration	antibiotic target alteration
ABW44_02935	aminoglycoside	antibiotic inactivation	antibiotic inactivation
CblA-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
CTX-M-15	beta_lactam	antibiotic inactivation	antibiotic inactivation
BcII	beta_lactam	antibiotic inactivation	antibiotic inactivation
HMPREF9145_0517	beta_lactam	antibiotic inactivation	antibiotic inactivation
PMI32_05060	beta_lactam	antibiotic inactivation	antibiotic inactivation
CKS_2901	beta_lactam	antibiotic inactivation	antibiotic inactivation
MicloDRAFT_00044210	beta_lactam	antibiotic inactivation	antibiotic inactivation
JCM19047_3672	beta_lactam	antibiotic inactivation	antibiotic inactivation
PMI05_00160	beta_lactam	antibiotic inactivation	antibiotic inactivation
Pmen_2038	beta_lactam	antibiotic inactivation	antibiotic inactivation
B4077_2344	beta_lactam	antibiotic inactivation	antibiotic inactivation
BleG1_0471	beta_lactam	antibiotic inactivation	antibiotic inactivation
VO69_07495	beta_lactam	antibiotic inactivation	antibiotic inactivation
RPSI07_mp0046	beta_lactam	antibiotic inactivation	antibiotic inactivation
TEH_23880	aminoglycoside	antibiotic inactivation	antibiotic inactivation
BG10_6932	beta_lactam	antibiotic inactivation	antibiotic inactivation
ALO78_02187	polymyxin	antibiotic target alteration	antibiotic target alteration
N184_17645	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Bacsa_2220	beta_lactam	antibiotic inactivation	antibiotic inactivation
B551_0203615	aminoglycoside	antibiotic inactivation	antibiotic inactivation
catA13	chloramphenicol	antibiotic inactivation	antibiotic inactivation
blaOXA	beta_lactam	antibiotic inactivation	antibiotic inactivation
catA16	chloramphenicol	antibiotic inactivation	antibiotic inactivation
AV650_28380	beta_lactam	antibiotic inactivation	antibiotic inactivation
CMY-82	beta_lactam	antibiotic inactivation	antibiotic inactivation
J057_11761	aminoglycoside	antibiotic inactivation	antibiotic inactivation
blaU	beta_lactam	antibiotic inactivation	antibiotic inactivation
ATE71_14205	aminoglycoside	antibiotic inactivation	antibiotic inactivation
UUU_18620	beta_lactam	antibiotic inactivation	antibiotic inactivation
CN09_03395	aminoglycoside	antibiotic inactivation	antibiotic inactivation
BJB45_00760	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ST398NM01_2020	beta_lactam	antibiotic inactivation	antibiotic inactivation
strA	aminoglycoside	antibiotic inactivation	antibiotic inactivation
BN949_01517	aminoglycoside	antibiotic inactivation	antibiotic inactivation
OOA_14870	beta_lactam	antibiotic inactivation	antibiotic inactivation
BL1_pao	beta_lactam	antibiotic inactivation	antibiotic inactivation
GM18_2318	beta_lactam	antibiotic target replacement	antibiotic target replacement
BL2d_oxa1	beta_lactam	antibiotic inactivation	antibiotic inactivation
aac	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ant1	aminoglycoside	antibiotic inactivation	antibiotic inactivation
penPC	beta_lactam	antibiotic inactivation	antibiotic inactivation
AWB81_03660	beta_lactam	antibiotic inactivation	antibiotic inactivation
Sbal195_0845	beta_lactam	antibiotic inactivation	antibiotic inactivation
BL2e_y56	beta_lactam	antibiotic inactivation	antibiotic inactivation
DM39_6529	beta_lactam	antibiotic inactivation	antibiotic inactivation
ADC-2	beta_lactam	antibiotic inactivation	antibiotic inactivation
Lnau_0681	beta_lactam	antibiotic inactivation	antibiotic inactivation
tetW	tetracycline	antibiotic target protection	antibiotic target protection
BN2069_36810	aminoglycoside	antibiotic inactivation	antibiotic inactivation
F946_02659	beta_lactam	antibiotic inactivation	antibiotic inactivation
TQ38_26290	aminoglycoside	antibiotic inactivation	antibiotic inactivation
JF66_07460	chloramphenicol	antibiotic inactivation	antibiotic inactivation
ADS79_16900	aminoglycoside	antibiotic inactivation	antibiotic inactivation
BL2a_III	beta_lactam	antibiotic inactivation	antibiotic inactivation
PDENDC454_06565	chloramphenicol	antibiotic inactivation	antibiotic inactivation
KS18_22820	aminoglycoside	antibiotic inactivation	antibiotic inactivation
blm	beta_lactam	antibiotic inactivation	antibiotic inactivation
AFL22_19085	beta_lactam	antibiotic inactivation	antibiotic inactivation
tetM	tetracycline	antibiotic target protection	antibiotic target protection
AS180_17385	beta_lactam	antibiotic inactivation	antibiotic inactivation
CLD_0021	chloramphenicol	antibiotic inactivation	antibiotic inactivation
VatB	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
Pcryo_1775	beta_lactam	antibiotic inactivation	antibiotic inactivation
Ltuc_1273	beta_lactam	antibiotic inactivation	antibiotic inactivation
BES08_20160	aminoglycoside	antibiotic inactivation	antibiotic inactivation
KF707C_27510	beta_lactam	antibiotic inactivation	antibiotic inactivation
BAMA_03925	beta_lactam	antibiotic inactivation	antibiotic inactivation
XJ18_07905	chloramphenicol	antibiotic inactivation	antibiotic inactivation
ampC_2	beta_lactam	antibiotic inactivation	antibiotic inactivation
SB4_14720	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Vapar_3231	beta_lactam	antibiotic inactivation	antibiotic inactivation
HALO3509	aminoglycoside	antibiotic inactivation	antibiotic inactivation
PB2503_13554	beta_lactam	antibiotic inactivation	antibiotic inactivation
AMS60_00965	chloramphenicol	antibiotic inactivation	antibiotic inactivation
XM25_16535	aminoglycoside	antibiotic inactivation	antibiotic inactivation
PROVRETT_07612	aminoglycoside	antibiotic inactivation	antibiotic inactivation
PROVRUST_05757	beta_lactam	antibiotic inactivation	antibiotic inactivation
OXA-34	beta_lactam	antibiotic target alteration	antibiotic target alteration
BlaGIL-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
EBL_c13230	beta_lactam	antibiotic inactivation	antibiotic inactivation
Y886_30125	aminoglycoside	antibiotic inactivation	antibiotic inactivation
F945_03287	beta_lactam	antibiotic inactivation	antibiotic inactivation
OA45_00670	chloramphenicol	antibiotic inactivation	antibiotic inactivation
IKE_05732	beta_lactam	antibiotic inactivation	antibiotic inactivation
WS70_25295	beta_lactam	antibiotic inactivation	antibiotic inactivation
PMI25_000918	beta_lactam	antibiotic inactivation	antibiotic inactivation
BC1001_5831	beta_lactam	antibiotic inactivation	antibiotic inactivation
oxa	beta_lactam	antibiotic inactivation	antibiotic inactivation
TEM-47	beta_lactam	antibiotic inactivation	antibiotic inactivation
GLGR_3506	beta_lactam	antibiotic inactivation	antibiotic inactivation
FG93_02833	beta_lactam	antibiotic inactivation	antibiotic inactivation
OI25_4698	beta_lactam	antibiotic inactivation	antibiotic inactivation
cmlA	chloramphenicol	antibiotic inactivation	antibiotic inactivation
OXA-2	beta_lactam	antibiotic inactivation	antibiotic inactivation
PMI41_04644	beta_lactam	antibiotic inactivation	antibiotic inactivation
MMAR_1674	beta_lactam	antibiotic inactivation	antibiotic inactivation
SHV-22	beta_lactam	antibiotic inactivation	antibiotic inactivation
sul1	sulfonamide	antibiotic target replacement	antibiotic target replacement
Psesu_0777	aminoglycoside	antibiotic inactivation	antibiotic inactivation
QQ25_05210	aminoglycoside	antibiotic inactivation	antibiotic inactivation
KNN_06295	beta_lactam	antibiotic inactivation	antibiotic inactivation
CDLVIII_2656	chloramphenicol	antibiotic inactivation	antibiotic inactivation
Cv017_21525	aminoglycoside	antibiotic inactivation	antibiotic inactivation
AmpC	beta_lactam	antibiotic inactivation	antibiotic inactivation
K678_12262	beta_lactam	antibiotic target replacement	antibiotic target replacement
Smed_0125	aminoglycoside	antibiotic inactivation	antibiotic inactivation
TO66_29130	aminoglycoside	antibiotic inactivation	antibiotic inactivation
OCH-8	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaMOX-2	beta_lactam	antibiotic inactivation	antibiotic inactivation
ampC2	beta_lactam	antibiotic inactivation	antibiotic inactivation
A499_24844	chloramphenicol	antibiotic inactivation	antibiotic inactivation
NGR_c32650	beta_lactam	antibiotic inactivation	antibiotic inactivation
PTE_02723	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaOXA-3	beta_lactam	antibiotic inactivation	antibiotic inactivation
CV_0230	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ant1_2	aminoglycoside	antibiotic inactivation	antibiotic inactivation
HMPREF9554_02777	chloramphenicol	antibiotic inactivation	antibiotic inactivation
RA19_23950	beta_lactam	antibiotic inactivation	antibiotic inactivation
BL2b_ula	beta_lactam	antibiotic inactivation	antibiotic inactivation
bmyco0002_58280	chloramphenicol	antibiotic inactivation	antibiotic inactivation
HALO4343	beta_lactam	antibiotic inactivation	antibiotic inactivation
Rleg4DRAFT_2512	beta_lactam	antibiotic inactivation	antibiotic inactivation
WJ33_13645	beta_lactam	antibiotic inactivation	antibiotic inactivation
RD02_10175	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaTEM-1	beta_lactam	antibiotic inactivation	antibiotic inactivation
F889_02977	beta_lactam	antibiotic inactivation	antibiotic inactivation
BL2e_fpm	beta_lactam	antibiotic inactivation	antibiotic inactivation
ASC64_11900	beta_lactam	antibiotic target replacement	antibiotic target replacement
EY04_31830	aminoglycoside	antibiotic inactivation	antibiotic inactivation
IV66_GL000803	aminoglycoside	antibiotic inactivation	antibiotic inactivation
F384_08595	beta_lactam	antibiotic inactivation	antibiotic inactivation
ant	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ACR54_00646	aminoglycoside	antibiotic inactivation	antibiotic inactivation
JT27_16930	chloramphenicol	antibiotic inactivation	antibiotic inactivation
BcrFT9_01917	chloramphenicol	antibiotic inactivation	antibiotic inactivation
O166_21360	beta_lactam	antibiotic inactivation	antibiotic inactivation
neo	aminoglycoside	antibiotic inactivation	antibiotic inactivation
pbgP	polymyxin	antibiotic target alteration	antibiotic target alteration
VIBNIFTn2_1190029	aminoglycoside	antibiotic inactivation	antibiotic inactivation
fosB2	fosfomycin	antibiotic inactivation	antibiotic inactivation
UB47_19735	chloramphenicol	antibiotic inactivation	antibiotic inactivation
AS034_02425	chloramphenicol	antibiotic inactivation	antibiotic inactivation
F933_03220	aminoglycoside	antibiotic inactivation	antibiotic inactivation
aadA	aminoglycoside	antibiotic inactivation	antibiotic inactivation
PF66_02059	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaSHV	beta_lactam	antibiotic inactivation	antibiotic inactivation
WS68_05870	aminoglycoside	antibiotic inactivation	antibiotic inactivation
imp	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaACT-34	beta_lactam	antibiotic inactivation	antibiotic inactivation
QW71_31235	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Entas_2396	chloramphenicol	antibiotic inactivation	antibiotic inactivation
APR47_42920	beta_lactam	antibiotic inactivation	antibiotic inactivation
JCM19231_3832	beta_lactam	antibiotic inactivation	antibiotic inactivation
XB05_09780	aminoglycoside	antibiotic inactivation	antibiotic inactivation
TN98_10925	beta_lactam	antibiotic inactivation	antibiotic inactivation
HMPREF9710_02755	aminoglycoside	antibiotic inactivation	antibiotic inactivation
Entcl_2980	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaTER-2	beta_lactam	antibiotic inactivation	antibiotic inactivation
BL1_cmy2	beta_lactam	antibiotic inactivation	antibiotic inactivation
ANT(3'')-Ii-AAC(6')-IId	aminoglycoside	antibiotic inactivation	antibiotic inactivation
PROSTU_00250	beta_lactam	antibiotic inactivation	antibiotic inactivation
blaCTX	beta_lactam	antibiotic inactivation	antibiotic inactivation
BURPS305_3406	aminoglycoside	antibiotic inactivation	antibiotic inactivation
ATM99_15730	chloramphenicol	antibiotic inactivation	antibiotic inactivation
Ndas_2388	beta_lactam	antibiotic inactivation	antibiotic inactivation
ADL06_32520	chloramphenicol	antibiotic inactivation	antibiotic inactivation
TU62_26660	chloramphenicol	antibiotic inactivation	antibiotic inactivation
vgb_2	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
B224_5390	beta_lactam	antibiotic inactivation	antibiotic inactivation
ND00_04320	chloramphenicol	antibiotic inactivation	antibiotic inactivation
mphA	macrolide;lincosamide;streptogramin	antibiotic inactivation	antibiotic inactivation
